genome_id	genome_name	taxon_id	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names
469009.4	"""'Brassica napus' phytoplasma strain TW1"""	469009	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	'Brassica napus' phytoplasma	131567;2;1783272;544448;31969;186329;2146;33926;85620;469009	cellular organisms;Bacteria;Terrabacteria group;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Candidatus Phytoplasma;Candidatus Phytoplasma asteris;'Brassica napus' phytoplasma
1309411.5	"""'Deinococcus soli' Cha et al. 2014 strain N5"""	1309411	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus soli Cha et al. 2016	131567;2;1783272;1297;188787;118964;183710;1298;1309411	cellular organisms;Bacteria;Terrabacteria group;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus soli Cha et al. 2016
1123738.3	"""'Echinacea purpurea' witches'-broom phytoplasma strain NCHU2014"""	1123738	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	'Echinacea purpurea' witches'-broom phytoplasma	131567;2;1783272;544448;31969;186329;2146;33926;85621;1123738	cellular organisms;Bacteria;Terrabacteria group;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Candidatus Phytoplasma;16SrII (Peanut WB group);'Echinacea purpurea' witches'-broom phytoplasma
551115.6	"""'Nostoc azollae' 0708"""	551115	Bacteria	Cyanobacteria		Nostocales	Nostocaceae	Trichormus	Trichormus azollae	131567;2;1783272;1798711;1117;1161;1162;264688;1164;551115	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Trichormus;Trichormus azollae;'Nostoc azollae' 0708
1856298.3	"""'Osedax' symbiont bacterium Rs2_46_30_T18 strain Rs2_46_30_T18"""	1856298	Bacteria						'Osedax' symbiont bacterium Rs2_46_30_T18	131567;2;49928;1856298	cellular organisms;Bacteria;unclassified Bacteria;'Osedax' symbiont bacterium Rs2_46_30_T18
1706000.3	"""'Sphingomonas ginsengisoli' Hoang et al. 2012 strain KCTC 12630"""	1706000	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	'Sphingomonas ginsengisoli' Hoang et al. 2012	131567;2;1224;28211;204457;41297;13687;1706000	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;'Sphingomonas ginsengisoli' Hoang et al. 2012
28901.2925	"""Salmonella enterica strain N43448 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2926	"""Salmonella enterica strain N43450 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2927	"""Salmonella enterica strain N43451 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2928	"""Salmonella enterica strain N43453 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2929	"""Salmonella enterica strain N43454 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2930	"""Salmonella enterica strain N43456 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2931	"""Salmonella enterica strain N43459 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2932	"""Salmonella enterica strain N43460 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2933	"""Salmonella enterica strain N43465 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2934	"""Salmonella enterica strain N43466 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2935	"""Salmonella enterica strain N43469 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2936	"""Salmonella enterica strain N43475 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2937	"""Salmonella enterica strain N43479 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2938	"""Salmonella enterica strain N43480 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
28901.2939	"""Salmonella enterica strain N43481 """	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	131567;2;1224;1236;91347;543;590;28901	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
