Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
573,"573.24017","Klebsiella pneumoniae strain 396","ciprofloxacin","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
562,"562.23301","Escherichia coli O1:H7 strain ECO0951","ciprofloxacin","Susceptible",,,,,"agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
28901,"28901.8866","Salmonella enterica strain CVM N41754","ciprofloxacin","Susceptible","0.015","<=","0.015","mg/L","MIC",,,"Trek","CLSI",,,,,"Laboratory Method",,
54388,"54388.247","Salmonella enterica subsp. enterica serovar Paratyphi A strain 20949_8#6","ciprofloxacin","IS",,,,,"Kirby-Bauer disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"29684021"
485,"485.7874","Neisseria gonorrhoeae strain AUSMDU00007076","ciprofloxacin","Resistant","0.030",,"0.030","mg/L","agar dilution",,,,"clsi",2016,,,,"Laboratory Method",,"29182725"
573,"573.12940","Klebsiella pneumoniae 87","ciprofloxacin","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
195,"195.2286","Campylobacter coli strain FSIS1607016","ciprofloxacin","Susceptible","0.06","==","0.06","mg/L","MIC",,,,"CLSI",,,,,"Laboratory Method",,
485,"485.6931","Neisseria gonorrhoeae SRR5827211","ciprofloxacin",,"<=0.008","<=","0.008","mg/L","agar dilution",,,,,,,,,"Laboratory Method",,"31479500"
573,"573.30007","Klebsiella pneumoniae strain Kpngiani7132533","ciprofloxacin","Resistant",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
590,"590.13412","Salmonella enterica SRR3665120","ciprofloxacin",,"<=0.015","<=","0.015","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
562,"562.60286","Escherichia coli strain SCAID URN1-2019","ciprofloxacin","Susceptible","==35","==","35","mm","disk diffusion","Disk difussion method in Mueller-Hinton Agar","Scan 500","Interscience","CLSI",,,,,,,
573,"573.13545","Klebsiella pneumoniae KPN1629ec","ciprofloxacin","Resistant",">2",">","2","mg/L","MIC",,"BD phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
